 initial energy:           16
 initial magnetization:           24
 average energy:   -1616.9571519080898     
 fraction accepted swaps:   0.14642187500000001     
 elapsed time [s] :   0.64798200000000006     
 final energy	(simu) :        -1562
 final magnetization (simu) :          632
 Magnetization Distribution: 
          94   2.6151041666666666E-003   1.0466023439310824E-004
          96   2.4208333333333334E-003   9.6951788871704425E-005
          98   2.2588541666666668E-003   9.0954190467291662E-005
         100   2.2195312500000001E-003   8.9835452774204695E-005
         102   2.1688802083333334E-003   8.8074044973076313E-005
         104   2.1673177083333336E-003   8.8059404983736127E-005
         106   2.2666666666666668E-003   9.2012681782379629E-005
         108   2.3071614583333334E-003   9.3832821342590232E-005
         110   2.4382812499999999E-003   9.9555574392895096E-005
         112   2.5496093750000002E-003   1.0446854493192726E-004
         114   2.5516927083333333E-003   1.0507568138648340E-004
         116   2.5990885416666666E-003   1.0735401688030717E-004
         118   2.7531249999999999E-003   1.1377216882804683E-004
         120   2.5600260416666666E-003   1.0622663953825354E-004
         122   2.5502604166666668E-003   1.0606367567119908E-004
         124   2.6842447916666668E-003   1.1211386184453599E-004
         126   2.8186197916666668E-003   1.1785994574248903E-004
         128   2.9589843750000002E-003   1.2376377920977788E-004
         130   2.9921875000000001E-003   1.2552832304674709E-004
         132   2.9906250000000002E-003   1.2583559019128406E-004
         134   2.8625000000000000E-003   1.2092054879243623E-004
         136   2.8441406250000003E-003   1.2060766221754333E-004
         138   2.8417968750000001E-003   1.2086753623407366E-004
         140   2.9743489583333336E-003   1.2691967385347085E-004
         142   3.0544270833333335E-003   1.3031486759667574E-004
         144   3.0014322916666670E-003   1.2836900715034271E-004
         146   3.1667968750000003E-003   1.3574213462797327E-004
         148   3.2492187500000004E-003   1.3967922201723508E-004
         150   3.2652343750000003E-003   1.4078294874421188E-004
         152   3.2335937500000004E-003   1.4026452643466634E-004
         154   3.1834635416666669E-003   1.3853856127384382E-004
         156   3.1747395833333337E-003   1.3878751541914142E-004
         158   3.1854166666666667E-003   1.3983377720473637E-004
         160   3.1221354166666667E-003   1.3781328139642223E-004
         162   3.2710937500000001E-003   1.4526838006209455E-004
         164   3.2260416666666670E-003   1.4400372179019461E-004
         166   3.2639322916666667E-003   1.4663543793581629E-004
         168   3.4217447916666667E-003   1.5427714586774678E-004
         170   3.2463541666666669E-003   1.4710572578410783E-004
         172   3.3617187500000001E-003   1.5301974041971732E-004
         174   3.4786458333333336E-003   1.5906070299438207E-004
         176   3.4138020833333334E-003   1.5659369487148740E-004
         178   3.5800781250000004E-003   1.6474723204425241E-004
         180   3.7415364583333337E-003   1.7258769848502056E-004
         182   3.6553385416666670E-003   1.6964920119417982E-004
         184   3.5770833333333336E-003   1.6723007125645593E-004
         186   3.4119791666666669E-003   1.6012839836718730E-004
         188   3.3566406250000002E-003   1.5831130657737602E-004
         190   3.3752604166666670E-003   1.6017404276701819E-004
         192   3.3605468750000003E-003   1.6001009078376035E-004
         194   3.4489583333333334E-003   1.6493495805524613E-004
         196   3.4100260416666667E-003   1.6369857143521137E-004
         198   3.5177083333333336E-003   1.6968788269518354E-004
         200   3.5751302083333334E-003   1.7337224305689124E-004
         202   3.2220052083333337E-003   1.5722639464077368E-004
         204   3.2065104166666670E-003   1.5720494051394757E-004
         206   3.1981770833333337E-003   1.5734422882475997E-004
         208   3.1256510416666668E-003   1.5414136167405786E-004
         210   3.2166666666666667E-003   1.5942599704346066E-004
         212   3.2236979166666668E-003   1.6075783326961298E-004
         214   3.0973958333333335E-003   1.5502400008340951E-004
         216   3.1494791666666667E-003   1.5908143560927385E-004
         218   3.2641927083333334E-003   1.6546436019917863E-004
         220   3.1920572916666668E-003   1.6275757559490952E-004
         222   3.2764322916666666E-003   1.6837685200281653E-004
         224   3.2285156250000000E-003   1.6673858426585419E-004
         226   3.2563802083333333E-003   1.6951383101839756E-004
         228   3.3166666666666670E-003   1.7390758231625769E-004
         230   3.3070312500000001E-003   1.7416286428972093E-004
         232   3.2705729166666669E-003   1.7370029697257652E-004
         234   3.3438802083333337E-003   1.7928177160301777E-004
         236   3.2114583333333335E-003   1.7334754551817771E-004
         238   3.1248697916666669E-003   1.7022486276134312E-004
         240   3.0190104166666668E-003   1.6566860053080344E-004
         242   3.0614583333333336E-003   1.6912253332343791E-004
         244   3.0769531250000003E-003   1.7098380283027851E-004
         246   2.8936197916666667E-003   1.6217261796458738E-004
         248   2.8377604166666668E-003   1.6048776110917591E-004
         250   2.7227864583333336E-003   1.5516223681342629E-004
         252   2.6841145833333335E-003   1.5433804574717489E-004
         254   2.6411458333333335E-003   1.5293248206013800E-004
         256   2.5208333333333333E-003   1.4716490697722586E-004
         258   2.3407552083333336E-003   1.3758068230256478E-004
         260   2.2583333333333335E-003   1.3376997729737145E-004
         262   2.2864583333333335E-003   1.3623386718393114E-004
         264   2.2312500000000002E-003   1.3386067443780562E-004
         266   2.3131510416666669E-003   1.3964016890480584E-004
         268   2.3416666666666668E-003   1.4264967167544243E-004
         270   2.3286458333333336E-003   1.4268940866041797E-004
         272   2.3451822916666669E-003   1.4473573388803176E-004
         274   2.3016927083333335E-003   1.4310040859797499E-004
         276   2.2500000000000003E-003   1.4109356554274356E-004
         278   2.4555989583333335E-003   1.5532690738979049E-004
         280   2.4829427083333335E-003   1.5785216369395489E-004
         282   2.3420572916666668E-003   1.5032823505234188E-004
         284   2.3424479166666667E-003   1.5167105444922064E-004
         286   2.3696614583333334E-003   1.5474042874386563E-004
         288   2.2740885416666669E-003   1.4943563732944875E-004
         290   2.1444010416666669E-003   1.4219207269316117E-004
         292   2.1773437500000000E-003   1.4598961952899621E-004
         294   2.2002604166666668E-003   1.4864081886023387E-004
         296   2.1766927083333334E-003   1.4823625047667989E-004
         298   1.9697916666666666E-003   1.3549251022401362E-004
         300   1.9141927083333335E-003   1.3291696381380122E-004
         302   1.8109375000000000E-003   1.2690931375632149E-004
         304   1.7562500000000000E-003   1.2408610423194247E-004
         306   1.8031250000000000E-003   1.2827274024825941E-004
         308   1.7236979166666668E-003   1.2335708679153828E-004
