 conserved    temp
    0.1125052232E+03    0.8342731237E-13
    0.1125052510E+03    0.1688790804E-06
    0.1125053010E+03    0.4182369822E-09
    0.1125053009E+03    0.4976572651E-18
    0.1125052358E+03    0.2070972307E-12
    0.1125052328E+03    0.3735155631E-05
    0.1125052614E+03    0.3426873243E-07
    0.1125052674E+03    0.3538666944E-19
    0.1125051785E+03    0.2664288971E-15
    0.1125052338E+03    0.3173764116E-14
    0.1125052644E+03    0.3150167066E-04
    0.1125051922E+03    0.3013038094E-13
    0.1125052155E+03    0.6354457413E-14
    0.1125052257E+03    0.5111787567E-17
    0.1125051817E+03    0.9748955929E-16
    0.1125052453E+03    0.8398104364E-12
    0.1125052115E+03    0.3673122353E-06
    0.1125051924E+03    0.6854405767E-03
    0.1125052411E+03    0.7828920794E-19
    0.1125051771E+03    0.8857969852E-14
    0.1125052717E+03    0.1159739493E-19
    0.1125052287E+03    0.7144426216E-10
    0.1125052009E+03    0.3272413999E-03
    0.1125052606E+03    0.1300664716E-05
    0.1125052930E+03    0.3514496066E-19
    0.1125052791E+03    0.9888216906E-13
    0.1125052531E+03    0.9990624533E-04
    0.1125052820E+03    0.1867360324E-07
    0.1125053101E+03    0.2988950165E-18
    0.1125052854E+03    0.8733389887E-12
    0.1125055426E+03    0.6277723719E-01
    0.1125052537E+03    0.1413396931E-08
    0.1125053254E+03    0.3373410775E-17
    0.1125053317E+03    0.2538960793E-12
    0.1125053016E+03    0.1013799213E-04
    0.1125053149E+03    0.3687424314E-12
    0.1125053431E+03    0.1675656650E-16
    0.1125053844E+03    0.1446467514E-13
    0.1125054004E+03    0.1466178118E-07
    0.1125053483E+03    0.2210298584E-16
    0.1125052873E+03    0.7452580674E-15
    0.1125053124E+03    0.6093632807E-09
    0.1125053226E+03    0.1215486015E-04
    0.1125053380E+03    0.5687304490E-19
    0.1125053001E+03    0.1652780413E-12
    0.1125052646E+03    0.4806644586E-04
    0.1125052839E+03    0.1524439739E-06
    0.1125053398E+03    0.4407494882E-19
    0.1125052966E+03    0.2496091454E-11
    0.1125053022E+03    0.3883828941E-01
    0.1125053099E+03    0.3992339081E-09
    0.1125053299E+03    0.7752409722E-18
    0.1125053440E+03    0.1645517774E-12
    0.1125053215E+03    0.9221587630E-06
    0.1125052618E+03    0.2996050534E-12
    0.1125052812E+03    0.1002855590E-16
    0.1125053267E+03    0.4690009628E-14
